review_id,user_id,rating,text,time_created,business_id,business_name,location,category
a0xawbSfMoWU86xR367ysg,TTtgJzRUbOON32xVQsjErg,5,"Fantastic service and a great atmosphere! If you're here, ask for Bree she delivers some of the best hospitality Atlanta has to offer, no kidding. She made...",2025-02-27 18:24:22,eG-UO83g_5zDk70FIJbm2w,South City Kitchen Midtown,"1144 Crescent Ave NE, Atlanta, GA 30309",Southern
_96BtfdQTpMMPA72cgl_9A,r2Cbc1xIuJxctEJQhUozFg,5,"As I searched for someplace great to eat, reasonably priced for my first visit to Atlanta.  I came upon this gem. I sat at the bar and Cassie took care of...",2025-03-26 06:40:55,eG-UO83g_5zDk70FIJbm2w,South City Kitchen Midtown,"1144 Crescent Ave NE, Atlanta, GA 30309",Southern
-PR8KeyLBF8cDo48ziVudA,4om9-6STuScS1BbLyYS36Q,4,"Delicious food, good drinks, fast service. I went here for the first time while in town for business. I know ATL is a foodie town, so I had to get a little...",2025-03-11 16:26:41,eG-UO83g_5zDk70FIJbm2w,South City Kitchen Midtown,"1144 Crescent Ave NE, Atlanta, GA 30309",Southern
w-k3D7aJOsKYh0Wdz9CzbQ,nuO42bJn2Mu498bbalMNqw,5,"Whiskey Bird is your typical neighborhood restaurant offering American-Asian fusion food. It gets pretty busy during lunch and dinner, so booking a...",2025-03-30 12:22:17,dfL1KYHtcs6YaFVx-nZTdQ,Whiskey Bird,"1409 North Highland Ave NE, Atlanta, GA 30306",New American
-XnUa3lVPM4HOF3uS9SD2w,Q7z79xji4Jube-VuaEe32A,5,"Came here for a birthday brunch and we were impressed! There was parking across the street and it's nestled in an almost small town feel part of Atlanta.

I...",2025-03-12 10:45:19,dfL1KYHtcs6YaFVx-nZTdQ,Whiskey Bird,"1409 North Highland Ave NE, Atlanta, GA 30306",New American
C_AHPqquazs9uNvVdK1Yiw,HKNW-Vtia-B1-TvAdVjsWQ,4,"Went to brunch for son's birthday.  
Ordered a Caribbean iced coffee. It was delicious. 
I had the spicy tuna ""toast"" but the toast was actually hashbrowns....",2025-03-11 07:57:46,dfL1KYHtcs6YaFVx-nZTdQ,Whiskey Bird,"1409 North Highland Ave NE, Atlanta, GA 30306",New American
nzo_d4WcvCvJP9qYaMX9CA,0g2oOYbcRRr-0y30Vc_8Cw,5,Had an absolute blast at Poor Calvin's! Our large group of 16 dove into some seriously cool dishes and we left totally satisfied. We kicked things off with...,2025-03-05 18:06:23,U-i6cq-yFRVJC4pIKSLX9Q,Poor Calvin's,"510 Piedmont Ave NE, Atlanta, GA 30308",Asian Fusion
fXqv_4wNYMjYai201qipEQ,mly6Q2aT6-KXNTO1MoLj0w,5,"The best lobster fried rice! There drinks are unique and flavorful, & lastly there calamari is a must try (very tender and not chewy) the best I've had yet!...",2025-02-25 13:08:00,U-i6cq-yFRVJC4pIKSLX9Q,Poor Calvin's,"510 Piedmont Ave NE, Atlanta, GA 30308",Asian Fusion
Q6q0fkrrrCvxNPFKkEkjaw,h4ZtQtC6wF7wc2LJE4FEkw,5,Incredible service and food. The waiters and management are all so nice and kind and made us feel like the only table in the restaurant on a busy Friday...,2025-03-09 17:46:24,KTGOyUdVsd__xSU58vG4Iw,5Church - Buckhead,"3379 Peachtree Rd NE, Ste 125, Atlanta, GA 30326",New American
Ioe4LuOo21vH8WcgAZbgyA,gF41M3oiTyYLSFYrNnggcQ,4,"Came here one time two years ago and was not a fan of the food, but they made a come back for sure! I ordered shrimp and grits and my friend ordered steak....",2025-03-26 13:03:53,KTGOyUdVsd__xSU58vG4Iw,5Church - Buckhead,"3379 Peachtree Rd NE, Ste 125, Atlanta, GA 30326",New American
AtHM8VdGyljVzs1E7-z8ew,B0excINh6nLnSqistOpHig,5,"Enjoyed a business luncheon here and was impressed. First of all the restaurant is just beautiful, a great place to take fun photos with friends or family....",2025-02-20 12:09:17,KTGOyUdVsd__xSU58vG4Iw,5Church - Buckhead,"3379 Peachtree Rd NE, Ste 125, Atlanta, GA 30326",New American
A9Mh_-mir2J9iiA188q9dg,6ueQFmbYmOs-0TE07lEWvQ,5,"Wagyu House was the perfect spot to celebrate my birthday with my best friend on a lovely Sunday evening. From the moment we arrived, the experience was...",2025-03-24 08:28:30,OSufycohQX2ze2bgcEuQ6g,Wagyu House,"1042 Northside Dr, Ste 1300, Atlanta, GA 30318",Barbeque
MuU9ggvJkpfTJ2qCWv9c5Q,LirGoe31-X3hyNRLDgyvcg,4,"Food was delicious! You get to self serve your side dishes. They have an assortment of wagyu dishes. We ate a ton of A5 wagyu, wagyu, seafood dishes, and...",2025-03-25 14:28:21,OSufycohQX2ze2bgcEuQ6g,Wagyu House,"1042 Northside Dr, Ste 1300, Atlanta, GA 30318",Barbeque
NXvdAvvbGncaxEy6O3iR-g,7SvI1G-_4D-TDN3s2B6VlA,5,"Great food and great service! The workers were kind, and the food came out very quickly.",2025-03-11 20:20:12,saBBzLm12utmiab6hwod5w,Pelicana Chicken,"420 14th St NW, Ste 100A, Atlanta, GA 30318",Korean
DPDg9txi6cX4cCR0o_iZsw,51VzQAqQjmimjWFa8-k02g,5,"My boyfriend and I stopped by Pelicana Chicken in Atlanta after midnight, and it was the perfect late-night spot to eat and drink. The atmosphere was so...",2025-01-02 00:46:17,saBBzLm12utmiab6hwod5w,Pelicana Chicken,"420 14th St NW, Ste 100A, Atlanta, GA 30318",Korean
m-95W93eEp19b97BvHC4mw,iGPv73Dx6FVublzqGKsIeQ,4,"This is my second time at Pelicana and while some items were better the first time, I still recommend trying. I got the spicy ramen and their garlic soy...",2025-01-02 08:39:14,saBBzLm12utmiab6hwod5w,Pelicana Chicken,"420 14th St NW, Ste 100A, Atlanta, GA 30318",Korean
2WVO4ADGosz06VmxLKnU_Q,wjerErdB4PsKEPa8Ke0mtQ,5,"So happy we stumbled upon Atlanta Breakfast Club...WOW!! From the moment you walk up, you are enveloped in a vibrant atmosphere! Smiles and kindness await...",2025-03-15 09:55:13,GJxFtnTqTiokFedNrW9iDQ,Atlanta Breakfast Club,"249 Ivan Allen Jr Blvd, Atlanta, GA 30313",Southern
w6ztPMlGs4CpMLZrLMONqg,rgs_Uvp1KGssuzSYiIahhQ,5,Outstanding felt like I was eating at big mommas house everything was good  service was exceptional the wait staff was on point with everything!,2025-03-03 16:22:14,GJxFtnTqTiokFedNrW9iDQ,Atlanta Breakfast Club,"249 Ivan Allen Jr Blvd, Atlanta, GA 30313",Southern
ln1idGkLh_lPFTdyQdxg7g,eBeYTVFmF1BOm0YxQ1bdLA,5,"Start to finish, exactly what breakfast should be! From the warm welcome upon arrival and the classic diner atmosphere, to the top notch service from Paul...",2025-03-14 07:00:57,GJxFtnTqTiokFedNrW9iDQ,Atlanta Breakfast Club,"249 Ivan Allen Jr Blvd, Atlanta, GA 30313",Southern
t05d-3fuL8y0xPmEaOgjdg,TE2xP8f61E2dl0GNUyYRtA,4,Interesting location- I found this place on Yelp but did not realize it is inside the ADAC which is the Atlanta Decorative Arts Center. Basically an...,2024-06-26 11:14:52,vgUv079XkNbWOtBf3tYKnw,The Hungry Peach,"351 Peachtree Hills Ave NE, Ste 232, Atlanta, GA 30305",Caterers
11-AgnQhm8O4II5EulS3lQ,CfA3URT5GlFeI5gbpQ161A,4,We were here last week and I must say this must be one of your must visit cafes. We got their famous chicken salad sandwich and we loved it!,2024-09-10 09:23:26,vgUv079XkNbWOtBf3tYKnw,The Hungry Peach,"351 Peachtree Hills Ave NE, Ste 232, Atlanta, GA 30305",Caterers
1UaCS9OtAn3jjbwBOcJkow,lIxHVC5F6LfFuOaPDPxqvQ,5,"I have been trying my best to only hand out 5 stars to restaurants that earn it, and the hungry peach EARNED it.

My Dad was celebrating his 60th birthday...",2021-03-13 08:10:42,vgUv079XkNbWOtBf3tYKnw,The Hungry Peach,"351 Peachtree Hills Ave NE, Ste 232, Atlanta, GA 30305",Caterers
LMTgnyVfmD3mI8OnT-ZIsA,L6-I3xk7xmWxkA0q5gAZWw,5,I was in search of a restaurant for a large dinner event for the company I work for and decided to try Park 82 based off the reviews that I read.  These...,2025-03-04 05:47:32,SPN7MdfJOQXsKnf_eayD6A,Park 82,"4403 Northside Pkwy NW, Ste 150, Atlanta, GA 30327",American
dhO8RvZen8kI-bM_Pgpctg,sh0xAStyzTJ8IL14L5BZXA,5,"This evening I enjoyed a wonderful 60th birthday dinner with my daughter. The restaurant atmosphere is the BEST with pleasant music, lovely table seatings...",2025-02-18 17:36:23,SPN7MdfJOQXsKnf_eayD6A,Park 82,"4403 Northside Pkwy NW, Ste 150, Atlanta, GA 30327",American
cAevKm3jQmfZEsiFj6Bdig,7YfMYf8PbsVSOT7gKqfNwA,5,"I made a reservation through OpenTable for my line's holiday dinner. The table was prepared for us upon arrival and our waiter, Dan, was amazing with so...",2024-12-29 14:55:19,SPN7MdfJOQXsKnf_eayD6A,Park 82,"4403 Northside Pkwy NW, Ste 150, Atlanta, GA 30327",American
xU6RcggEZbb7rPPIlIYAkQ,29X7HxHtGhKG72rCQ6gk7A,5,Chill af. Wine selection is fiye. Prosciutto panini (on Focaccia is flames. I had a glass of the Lirio and one of the Alpina. Music was cool. Definitely...,2025-02-18 22:41:44,TDvnkXWrEj4vBfeAgDDiRQ,Postino Buckhead,"3655 Roswell Rd NE, Ste 300, Atlanta, GA 30342",Wine Bars
eQuaMPcpVo52dS8kmkarPg,smZEQVBD_iCVz-5tMCGvUQ,5,"The food and service is amazing! My favorite items off the menu are the skewers and the boards (specifically goat cheese and pepper jam, & smoked salmon and...",2025-02-12 18:01:48,TDvnkXWrEj4vBfeAgDDiRQ,Postino Buckhead,"3655 Roswell Rd NE, Ste 300, Atlanta, GA 30342",Wine Bars
XJlXM3cGxW0466tieDHCgw,-MLsVjybtAYckDgT2CPLhg,5,"Postino Buckhead: Yelp Put Me On & I Keep Coming Back!  

Shoutout to Yelp for introducing me to Postino Buckhead--because now, I can't stop coming back!...",2025-03-18 17:34:36,TDvnkXWrEj4vBfeAgDDiRQ,Postino Buckhead,"3655 Roswell Rd NE, Ste 300, Atlanta, GA 30342",Wine Bars
lpAuY4qkkhGxNQ2pCP7JFw,ESq2HTpDncEjOdZEyAJfaA,5,"I received a gift card for my birthday and finally decided to stop by this delightful establishment. I was accompanied by my ‍Hubs‍ and my mom, so I was...",2025-03-26 18:00:44,gMSCtM6SCUF-bp3Ypw8Jxg,South City Kitchen Buckhead,"3350 Peachtree Rd NE, Ste 175, Atlanta, GA 30326",Southern
8vqVZ48drXbEkCZxnh0AOQ,-gO_WS39YVISTUjcWVhXIQ,4,"This is a 4.5 for us. The food and cocktails were excellent, service started out great but became a bit slower throughout the evening. At first we were...",2025-01-19 06:33:04,gMSCtM6SCUF-bp3Ypw8Jxg,South City Kitchen Buckhead,"3350 Peachtree Rd NE, Ste 175, Atlanta, GA 30326",Southern
jU2saMPHHvEDsp7eI2C61w,jVLdNgRu3noR0G-tLF4OzA,4,"Biscuit - it taste amazing with the apple butter. Has a nice salty taste to it as well.

Cornbread - this is the best cornbread that I've had. It has a...",2024-12-22 10:14:11,gMSCtM6SCUF-bp3Ypw8Jxg,South City Kitchen Buckhead,"3350 Peachtree Rd NE, Ste 175, Atlanta, GA 30326",Southern
8rB4guSbHKOT5NVszwO06Q,_-Qler8ebFL040wQAIUGPA,5,"I was staying at hotel around the corner and came here for dinner with my brother.  We were able to be seated right away.

I started off with the octopus...",2025-01-23 12:05:56,DTALvZKBJH8XVAKfcQseYQ,5Church Midtown,"1197 Peachtree St NE, Atlanta, GA 30361",New American
0iI3tM2N7pLA-HfJAz3A4w,yFE2BQlblasfgjPRvgGOCg,5,"Honestly, I get the Grana hype after going. They have free valet parking but of course be sure you tip. 

We grabbed a res online, but don't think you need...",2025-01-09 20:19:39,KqHES_Rr8btKCdz4RmpR_Q,Grana,"1835 Piedmont Ave NE, Atlanta, GA 30324",Italian
ySDBpEFBejzD7eSgen9WRw,Eshe4FjH9Ao39OhFnyDFOQ,4,"I came here with my wife to celebrate an anniversary. I have been here before with some friends, but this was my second time back. I made a reservation just...",2025-01-03 08:00:32,KqHES_Rr8btKCdz4RmpR_Q,Grana,"1835 Piedmont Ave NE, Atlanta, GA 30324",Italian
W9maFPdaprkRE6z4Ih7mzQ,8EYKs7j37UOOCmkGuYhq9g,5,"Delicious food, cocktails and awesome vibe.  Everything was very fresh and the service was friendly and attentive.",2025-02-20 16:14:31,WXIer1X3GtLZiAVXX8TV5Q,Rreal Tacos - Midtown,"100 6th St NE, Ste 110, Atlanta, GA 30308",Tacos
yASR5LhIeK-lUA-n3g6hAg,xchLNOQMe0a-JstmLggcxA,5,I like the grilled chicken tacos and the quesadilla. Service was on time. Ambiance was really good. I  enjoyed my food.,2025-02-26 18:38:16,WXIer1X3GtLZiAVXX8TV5Q,Rreal Tacos - Midtown,"100 6th St NE, Ste 110, Atlanta, GA 30308",Tacos
R7U8lpXC8Zs-PpzmUn3NbQ,l0gZlhNkUwt7p2Xyu5slKw,5,"Delicious! Great food with amazing service. The location is small but offers indoor and outdoor options. Plenty of parking. 

I ordered the passion fruit...",2025-01-29 22:28:50,WXIer1X3GtLZiAVXX8TV5Q,Rreal Tacos - Midtown,"100 6th St NE, Ste 110, Atlanta, GA 30308",Tacos
nMMLIBMzRtBHZUQXy8ihAQ,5g6L2dNMYV6z-7O6hniJag,5,The first word I would use to describe the food and service would be...special. I can't think of a time that I felt so welcome to be spending money at a...,2024-12-11 04:52:22,BSUDAiXd50PAkfFAztVpDw,Aviva by Kameel - Atlanta,"225 Peachtree St NE, Ste B-30, Atlanta, GA 30303",Mediterranean
vsJbJj9J4wA3AoSHNkVb1A,_h5Lv4icpafHnypjnlbNNA,5,"Chef Kaleel brings all the boys and girls and everyone else to the yard, again and again and again -- with excellent Lebanese food delivered by an...",2024-10-22 16:41:21,BSUDAiXd50PAkfFAztVpDw,Aviva by Kameel - Atlanta,"225 Peachtree St NE, Ste B-30, Atlanta, GA 30303",Mediterranean
GJiImSSRhtn_2u-XECfiUA,ETW3oHVvm1WLHjmT1VXcrw,5,Stumbled on this place while perusing the shopping Plaza. Kameel is so amazing and such a vibe. He truly makes everyone feel welcomed and creates a family...,2024-11-13 18:55:27,BSUDAiXd50PAkfFAztVpDw,Aviva by Kameel - Atlanta,"225 Peachtree St NE, Ste B-30, Atlanta, GA 30303",Mediterranean
8wF6p6jCokuxKhdUj9HceA,YKJGSZaV5yxh2wEOKW39nA,5,The food was amazing!The ambiance was amazing!The service was amazing!10/10 recommend!!! the Rasta pasta and salmon was great and well seasoned. We also had...,2025-02-15 16:57:46,WunZqB6ErdF7qsKADMnxjA,Miss Conduck,"357 Edgewood Ave SE, Atlanta, GA 30312",Trinidadian
8IDk3KOEsU4KlGhMbUceDw,RvQeV4sc7-agwM8MkyFmww,5,This was my first time here. Outstanding customer service! Drink was delicious! Food was incredible! I live in Charleston and I can't wait to return! Mickey...,2025-02-22 14:52:57,WunZqB6ErdF7qsKADMnxjA,Miss Conduck,"357 Edgewood Ave SE, Atlanta, GA 30312",Trinidadian
jNrtdaKPgZ8FhiHe-7xSPA,0fAS0gKd5CvpDOF4L5NLaw,5,I had the Roti with Ox tail and it was amazing!! the service was great and my bartender Saint was great! I came in town from Philly for the weekend and I...,2025-02-28 18:48:14,WunZqB6ErdF7qsKADMnxjA,Miss Conduck,"357 Edgewood Ave SE, Atlanta, GA 30312",Trinidadian
WK8RTNNmKPWeJYAaqMJYkg,oCfPtGWxeJc03jrClG-sEA,5,"My sister and I are in Atlanta for the weekend and we wanted to find a good brunch spot. We hit gold at Flavor Rich! 
Everything was delicious, service was...",2025-03-28 07:46:43,P9x2hBUSYlNMr7UZEX-qow,Flavor Rich Restaurant,"549 Peachtree St, Atlanta, GA 30308",Breakfast & Brunch
XrDHNOli39TjBmlpeNFDMA,WYwnNhSqFiuHCVrBWkeKTw,5,"A gem of a brunch place in the heart of Midtown! 

Location and Parking 
Located in Midtown, parking is located directly to the right of the entrance. It is...",2025-03-10 09:05:41,P9x2hBUSYlNMr7UZEX-qow,Flavor Rich Restaurant,"549 Peachtree St, Atlanta, GA 30308",Breakfast & Brunch
hlrYP__aXce9dwqJVfDdDw,L-thyiXFjEHqLA0ytgLVjw,5,O.M.G! where do I start!? The restaurant is small but very clean. I wouldn't recommend for large parties. I went Saturday around noon and it was a 2hr wait....,2025-02-22 14:34:07,P9x2hBUSYlNMr7UZEX-qow,Flavor Rich Restaurant,"549 Peachtree St, Atlanta, GA 30308",Breakfast & Brunch
_KFdBencQfzPA7VnG5C7GA,mJhMaaMV3x-HgCZb2GU9_w,5,The food is here is absolutely top notch and so is the service. Can't wait to try more of the menu as well as well as their breakfast!,2025-03-01 16:08:37,kTca-lKgde0hr5qeuLqiWg,Che Butter Jonez,"1602 Lavista Rd NE, Atlanta, GA 30329",Breakfast & Brunch
fvbYi1mUtMY-PUp_bVH2Sg,0L0jUiuVpU6AiGZj1TYndQ,5,"This spot is a welcome addition to our neighborhood. My first experience of their food was when my husband brought me home an egg, cheese and bacon...",2025-03-15 12:10:57,kTca-lKgde0hr5qeuLqiWg,Che Butter Jonez,"1602 Lavista Rd NE, Atlanta, GA 30329",Breakfast & Brunch
0UOe9tk9zkfOWUBFWi_lvg,pa-ImUPXsvQdfA6mNkx2jg,4,"The outside looked suspect; however, the reviews peaked my curiosity. The inside was small, quaint, and clean. 

The food I ordered the Patti Labelle...it...",2025-03-01 17:06:27,kTca-lKgde0hr5qeuLqiWg,Che Butter Jonez,"1602 Lavista Rd NE, Atlanta, GA 30329",Breakfast & Brunch
irT-tYO24eiUEzAul47CpQ,Qb4Kto4CZWoxydaTPpga9Q,5,"Thank goodness they were open and had space for us! 

We were working at the Global Food and Produce Show at the Georgia Congress Center and were starving...",2024-11-03 19:03:09,y9F-Aso24hNzbUvZNiv1MQ,Urban Hai,"77 12th St NE, Ste 7, Atlanta, GA 30309",Chinese
w_veOSe2kwuI-ldjI3U6_w,Akt9imjQztq0BTY6mNgQyg,5,"Came for dinner with colleagues. The place was almost empty at 5:30 pm on Sunday evening, surprisingly. There is nice patio seating but we were indoors...",2025-03-16 18:32:02,EmJOkTKIwgm7QJbls7hN3w,Seven Lamps,"3400 Around Lenox Rd, Atlanta, GA 30326",New American
b__e3LBXTU4tZVQhqXQYfQ,w8QA4MnFG7BtcgMwLI-4AA,5,"Seven Lamps will not disappoint. I searched on Yelp around the Buckhead, GA area for a decent ""foodie"" spot, since I was there for a week's worth of...",2025-02-09 08:07:33,EmJOkTKIwgm7QJbls7hN3w,Seven Lamps,"3400 Around Lenox Rd, Atlanta, GA 30326",New American
OB7TVV5KmHXNr7Jwk6jjPQ,z0IcOu4i97VKv_8IyRWNjQ,4,"A nice interior design that gives a feeling of solidity. The finish in the floors and tables are rubbing off, but it's not a con, because it does give one...",2025-01-30 09:58:40,EmJOkTKIwgm7QJbls7hN3w,Seven Lamps,"3400 Around Lenox Rd, Atlanta, GA 30326",New American
lnFyaYs6FdM0ql9wPTZEWg,zJfFkP8g2mLq1c6_jROSeQ,5,The moment you walk into this restaurant you're taken away by the decor! It's located inside the Burgess Hotel on Piedmont in Buckhead. There is valet...,2024-12-09 06:37:26,24VAjD2pvFPJw5puUx2khA,Fia Restaurant,"3600 Piedmont Rd NE, Atlanta, GA 30305",New American
Uj4tH3uUk4_fHu3HwAtQtQ,ETW3oHVvm1WLHjmT1VXcrw,5,This is a gorgeous restaurant located inside of a really nice boutique hotel. We didn't have a reservation but we were able to snag seats at the bar before...,2025-03-09 20:12:07,24VAjD2pvFPJw5puUx2khA,Fia Restaurant,"3600 Piedmont Rd NE, Atlanta, GA 30305",New American
K2ugFDjLuZ1V6ZE5DGIavg,q6PL53Q6-eaKblBZ_tLMKg,5,Some of the best restaurants are in hotels. Anytime I am in town I have to go to Fia. The wood grilled fish is so fresh and light. Not pictured is the...,2025-02-25 04:42:27,24VAjD2pvFPJw5puUx2khA,Fia Restaurant,"3600 Piedmont Rd NE, Atlanta, GA 30305",New American
93fS4T4ZXI3fPZ1nBY11bg,8cjs9CdbuEHbKQimnFwwVQ,5,"Tonight was my mom's birthday, and tomorrow is my father's so I gave them a choice of where they wanted to go, they chose to go to Bones! Really excited...",2025-03-14 17:38:46,4fzjAjzLCnjWfQP1sOHiwA,Bones,"3130 Piedmont Rd NE, Atlanta, GA 30305",Steakhouses
hlEcXz2Yo1sMDS7F9RfTpw,TPHODTUVRUbohd9FF-aP6g,5,"$$$$$
3/5/25
Every year, my daughter and I have visited Bones the first week of March. It is to celebrate the fact that we made it through another February!...",2025-03-11 15:20:18,4fzjAjzLCnjWfQP1sOHiwA,Bones,"3130 Piedmont Rd NE, Atlanta, GA 30305",Steakhouses
tP9Yc1md31mpDZj-d2ARNg,jhT9r_NBORDB2Fa5mBXWTA,5,"Bones is an Atlanta institution. Ask a local what the best steak place is in town, and there is a very good chance they will say Bones or Chops. I like them...",2025-01-11 18:22:35,4fzjAjzLCnjWfQP1sOHiwA,Bones,"3130 Piedmont Rd NE, Atlanta, GA 30305",Steakhouses
3JDiDymgeX-37o4Xj_YP6g,oP4Q3K2nVZfxL2iJOYU6Vw,5,"Yakitori, you have my heart. Specifically Tony (bartender) thank you for making our Super Bowl night + night I asked my partner to be my valentine so...",2025-02-25 18:44:25,46idfea6m0NFywvsdg_rnA,Yakitori Kona,"1004 Virginia Ave NE, Atlanta, GA 30306",Japanese
0myqUKYas82rdTXZDLVfEA,dSxGfd-XDEYyvwAg3PJp2Q,5,"My fiancé and I stopped in here for a drink and an appetizer one evening during the week, and we will definitely be back! I'm a huge fan of crispy rice, and...",2025-03-15 07:36:44,46idfea6m0NFywvsdg_rnA,Yakitori Kona,"1004 Virginia Ave NE, Atlanta, GA 30306",Japanese
XCMGbMx8WxlSPyG4ouDchw,75z9or1cKBeTHzvORD4NRg,5,Small intimate atmosphere but definitely gives local small town vibes and smiles. The food and atmosphere is amazing here. This place is owned by a married...,2025-03-08 21:38:18,46idfea6m0NFywvsdg_rnA,Yakitori Kona,"1004 Virginia Ave NE, Atlanta, GA 30306",Japanese
yLWzw9tdfoA6rKhzE356EA,zsylDaCCrXL54qjHnsN3MQ,4,"The service was impeccable! We went for our anniversary. Our menu was imprinted with ""Happy Anniversary"" when we sat down which set that mood. Waiters are...",2025-02-08 20:13:55,flrsv0dum7T68jy7QSDRKw,Marcel,"1170 Howell Mill Rd, Atlanta, GA 30318",Steakhouses
s9uS4uY_wHqvaJnoFY1yKA,ibjDVMPei9FuEFS8UMEWog,5,"I was in Atlanta for a fun weekend with friends and sought the advice of locals on the best steakhouse. After hearing Marcel's name again and again, I made...",2025-03-23 06:34:02,flrsv0dum7T68jy7QSDRKw,Marcel,"1170 Howell Mill Rd, Atlanta, GA 30318",Steakhouses
tM0PznF97TAR7D2HD-yoqg,4Dg1zB8M3iQxOHDFCRUegg,4,"Love the venue, but they need to get rid of the old bartender. He's really rude and impersonal to both the clients and the musicians. He seems to have an...",2025-02-13 22:25:15,RIiphmnqXCUL86SKj-uZ-A,Blind Willie's,"828 N Highland Ave, Atlanta, GA 30306",Jazz & Blues
iwJRBJ-UcOV3rYKSJumRYg,h1NCGc8ESSwc6E8l1ks1RQ,4,Food was  pretty good and service great But the menu was just okay It was very crowded and noisy  on Saturday around 10am.,2025-02-04 09:58:12,RIiphmnqXCUL86SKj-uZ-A,Blind Willie's,"828 N Highland Ave, Atlanta, GA 30306",Jazz & Blues
